Designator,Mid X,Mid Y,Rotation,Layer
D40,130.4925,-149.405,270.0,bottom
D41,149.5425,-149.405,270.0,bottom
D42,168.5925,-158.93,270.0,bottom
D43,197.1675,-149.405,270.0,bottom
D44,220.98,-149.405,270.0,bottom
D45,240.03,-149.405,270.0,bottom
D46,259.08,-149.405,270.0,bottom
D47,278.13,-149.405,270.0,bottom
D48,297.18,-149.405,270.0,bottom
D49,316.23,-149.405,270.0,bottom
D5,192.405,-101.78,270.0,bottom
D50,335.28,-149.405,270.0,bottom
D51,354.33,-149.405,270.0,bottom
D52,373.38,-149.405,270.0,bottom
D53,392.43,-149.405,270.0,bottom
D54,411.48,-149.405,270.0,bottom
D55,430.53,-149.405,270.0,bottom
D56,454.3425,-149.405,270.0,bottom
D57,482.9175,-149.405,270.0,bottom
D58,501.9675,-149.405,270.0,bottom
D59,111.4425,-168.455,270.0,bottom
D6,216.2175,-101.78,270.0,bottom
D60,130.4925,-168.455,270.0,bottom
D61,149.5425,-168.455,270.0,bottom
D62,199.54875,-168.455,270.0,bottom
D63,225.7425,-168.455,270.0,bottom
D64,244.7925,-168.455,270.0,bottom
D65,263.8425,-168.455,270.0,bottom
D66,282.8925,-168.455,270.0,bottom
D67,301.9425,-168.455,270.0,bottom
D68,320.9925,-168.455,270.0,bottom
D69,340.0425,-168.455,270.0,bottom
D7,235.2675,-101.78,270.0,bottom
D70,359.0925,-168.455,270.0,bottom
D71,378.1425,-168.455,270.0,bottom
D72,397.1925,-168.455,270.0,bottom
D73,416.2425,-168.455,270.0,bottom
D74,447.19875,-168.455,270.0,bottom
D75,482.9175,-168.455,270.0,bottom
D76,501.9675,-168.455,270.0,bottom
D77,111.4425,-187.505,270.0,bottom
D78,130.4925,-187.505,270.0,bottom
D79,149.5425,-187.505,270.0,bottom
D8,254.3175,-101.78,270.0,bottom
D80,168.5925,-197.03,270.0,bottom
D81,204.31125,-187.505,270.0,bottom
D82,235.2675,-187.505,270.0,bottom
D83,254.3175,-187.505,270.0,bottom
D84,273.3675,-187.505,270.0,bottom
D85,292.4175,-187.505,270.0,bottom
D86,311.4675,-187.505,270.0,bottom
D87,330.5175,-187.505,270.0,bottom
D88,349.5675,-187.505,270.0,bottom
D89,368.6175,-187.505,270.0,bottom
D9,273.3675,-101.78,270.0,bottom
D90,387.6675,-187.505,270.0,bottom
D91,406.7175,-187.505,270.0,bottom
D92,432.91125,-187.505,270.0,bottom
D93,463.8675,-192.2675,270.0,bottom
D94,120.9675,-206.555,270.0,bottom
D95,149.5425,-206.555,270.0,bottom
D96,194.78625,-206.555,270.0,bottom
D97,218.59875,-206.555,270.0,bottom
D98,242.41125,-206.555,270.0,bottom
D99,313.84875,-206.555,270.0,bottom
J1,484.7425,-82.475,180.0,bottom
J2,500.6925,-86.15,0.0,top
R1,486.3625,-101.99,90.0,bottom
R2,482.7,-88.19,270.0,bottom
R3,487.89,-88.1,180.0,bottom
R4,484.7625,-88.5025,270.0,bottom
R5,483.7625,-88.5025,270.0,bottom
R6,505.4525,-87.55,180.0,bottom
SW1,103.8225,-101.74,0.0,top
SW10,289.56,-101.74,0.0,top
SW100,375.285,-206.515,0.0,top
SW101,394.335,-206.515,0.0,top
SW102,413.385,-206.515,0.0,top
SW103,437.1975,-211.2775,0.0,top
SW104,456.2475,-211.2775,0.0,top
SW105,475.2975,-211.2775,0.0,top
SW11,308.61,-101.74,0.0,top
SW12,327.66,-101.74,0.0,top
SW13,346.71,-101.74,0.0,top
SW14,370.5225,-101.74,0.0,top
SW15,389.5725,-101.74,0.0,top
SW16,408.6225,-101.74,0.0,top
SW17,427.6725,-101.74,0.0,top
SW18,451.485,-101.74,0.0,top
SW19,103.8225,-130.315,0.0,top
SW2,122.8725,-101.74,0.0,top
SW20,122.8725,-130.315,0.0,top
SW21,141.9225,-130.315,0.0,top
SW22,160.9725,-130.315,0.0,top
SW23,184.785,-130.315,0.0,top
SW24,203.835,-130.315,0.0,top
SW25,222.885,-130.315,0.0,top
SW26,241.935,-130.315,0.0,top
SW27,260.985,-130.315,0.0,top
SW28,280.035,-130.315,0.0,top
SW29,299.085,-130.315,0.0,top
SW3,141.9225,-101.74,0.0,top
SW30,318.135,-130.315,0.0,top
SW31,337.185,-130.315,0.0,top
SW32,356.235,-130.315,0.0,top
SW33,375.285,-130.315,0.0,top
SW34,394.335,-130.315,0.0,top
SW35,413.385,-130.315,0.0,top
SW36,441.96,-133.2625,0.0,top
SW37,475.2975,-130.315,0.0,top
SW38,494.3475,-130.315,0.0,top
SW39,103.8225,-149.365,0.0,top
SW4,160.9725,-101.74,0.0,top
SW40,122.8725,-149.365,0.0,top
SW41,141.9225,-149.365,0.0,top
SW42,161.83,-160.98,0.0,top
SW43,189.5475,-149.365,0.0,top
SW44,213.36,-149.365,0.0,top
SW45,232.41,-149.365,0.0,top
SW46,251.46,-149.365,0.0,top
SW47,270.51,-149.365,0.0,top
